DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
200216570,10/23/2020 12:00:00 AM,10/01/2020 12:00:00 AM,2000,2,Rampart,249,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1906 1820 0913,42,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AA,Adult Arrest,956.0,,,,600    ST PAUL                      AV,,34.0542,-118.2611
211009787,07/04/2021 12:00:00 AM,07/03/2021 12:00:00 AM,2250,10,West Valley,1011,2,354,THEFT OF IDENTITY,1822 0377,49,M,W,101.0,STREET,,,AA,Adult Arrest,354.0,,,,ARMINTA,WOODLEY,34.2047,-118.5531
201225286,11/26/2020 12:00:00 AM,11/26/2020 12:00:00 AM,1610,12,77th Street,1241,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 2021 0340 0334 0353 0445,35,M,B,108.0,PARKING LOT,102.0,HAND GUN,IC,Invest Cont,230.0,,,,6400    WEST                         BL,,33.981,-118.3352
231718617,10/06/2023 12:00:00 AM,10/06/2023 12:00:00 AM,302,17,Devonshire,1714,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0385,45,M,K,101.0,STREET,,,IC,Invest Cont,331.0,,,,18200    CHATHAM                      LN,,34.2818,-118.5309
221412320,06/13/2022 12:00:00 AM,06/13/2022 12:00:00 AM,1425,14,Pacific,1485,2,625,OTHER ASSAULT,0356,42,M,B,402.0,MARKET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,625.0,,,,8600 S  SEPULVEDA                    BL,,33.9579,-118.402
240207085,02/29/2024 12:00:00 AM,02/29/2024 12:00:00 AM,2100,2,Rampart,275,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 1814 0444 0429,26,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,1600 W  11TH                         ST,,34.0506,-118.2769
210513939,09/21/2021 12:00:00 AM,09/21/2021 12:00:00 AM,1338,5,Harbor,521,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,1912 1258 1822,10,M,H,704.0,ELEMENTARY SCHOOL,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,930.0,,,,1800 N  TAPER                        AV,,33.7614,-118.2989
210213404,08/18/2021 12:00:00 AM,08/18/2021 12:00:00 AM,1400,2,Rampart,233,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 2000 1814 0444,20,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,2700    BEVERLY                      BL,,34.0699,-118.2777
231104388,01/11/2023 12:00:00 AM,01/10/2023 12:00:00 AM,800,11,Northeast,1115,2,354,THEFT OF IDENTITY,1822 0100,48,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,2100    FAIR PARK                    AV,,34.1358,-118.2135
240613742,12/03/2024 12:00:00 AM,11/29/2024 12:00:00 AM,1624,6,Hollywood,637,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0394 1501,24,F,W,504.0,OTHER RESIDENCE,,,IC,Invest Cont,440.0,,,,6200    HOLLYWOOD                    BL,,34.103,-118.3225
